,T10Y3M,curvature,BAMLCC0A1AAATRIV,DPRIME,VIXCLS,DJIA,SP500,mktrf,smb,hml,umd,indexgx,twexb,twexm,twexo,DCPF3M,DCPN3M,DFF,NASDAQCOM,DTWEXB,TEDRATE,USD3MTD156N,USEPUINDXD,WILL5000INDFC,WILLRESIND
LAG21,0.191969812,0.214624367,0.228122769,0.368031722,0.198817782,0.223050606,0.229337757,0.067759023,0.069465109,0.067078603,0.072163273,0.024973793,0.257497077,0.229490789,0.259376521,0.238471301,0.229839253,0.162750284,0.22881319,0.256779581,0.219041406,0.33857866,0.110286142,0.233657021,0.228640955
LAG22,0.195200878,0.213958913,0.22263905,0.368819655,0.19141409,0.225005089,0.230073137,0.074960948,0.067916243,0.075856569,0.078395796,0.027203807,0.259540922,0.233292842,0.255855037,0.247023919,0.23759098,0.170233662,0.23214533,0.258913081,0.211246489,0.342087729,0.112579518,0.234344237,0.236088533
LAG23,0.191353744,0.206273198,0.219806541,0.369594155,0.194311486,0.219725941,0.226355781,0.065013135,0.071794837,0.081390698,0.077848518,0.027898834,0.250594637,0.22585943,0.25592318,0.249398071,0.232726913,0.156371069,0.232193206,0.249755297,0.207657118,0.336672091,0.105928795,0.23205644,0.233597861
LAG24,0.182973427,0.200279148,0.213495951,0.370342252,0.195873662,0.215464085,0.227044695,0.08184579,0.088730498,0.077366819,0.091124675,0.02832687,0.249330953,0.22245892,0.258684032,0.24800566,0.232534709,0.150432904,0.235195238,0.248590066,0.208160386,0.328449414,0.104691682,0.233033895,0.2391999
LAG25,0.183561978,0.200859655,0.208072185,0.371087535,0.196047344,0.21080198,0.223605592,0.076200017,0.087851826,0.080181165,0.088769546,0.027578953,0.245665326,0.221805385,0.249127814,0.242983637,0.231866969,0.150140515,0.233680232,0.245042427,0.213763513,0.318943716,0.10048316,0.229785452,0.23623427
LAG26,0.184495097,0.203774607,0.19824416,0.371841633,0.190196128,0.214575258,0.22198045,0.073136683,0.078934147,0.074758599,0.081339266,0.028320996,0.246454171,0.227428798,0.242430439,0.232434699,0.229409513,0.154311875,0.229234543,0.245942175,0.215608917,0.310508117,0.102592051,0.225179444,0.237335627
LAG27,0.187079393,0.20812583,0.193017372,0.372594312,0.184772112,0.217816735,0.223097326,0.083916608,0.085019471,0.072951807,0.072789967,0.029461115,0.246728664,0.226957973,0.240651797,0.231673156,0.217107164,0.157728284,0.224744471,0.246377979,0.214976827,0.301567751,0.098470881,0.226714525,0.234950925
LAG28,0.187520436,0.206206633,0.195125567,0.373336848,0.185603736,0.212942732,0.214916801,0.089990021,0.082286542,0.073232086,0.073780797,0.02648563,0.252315078,0.229584672,0.240090365,0.230518346,0.216607235,0.149444703,0.210243743,0.251909399,0.214398079,0.292805744,0.099523406,0.218142,0.227013539
LAG29,0.189720924,0.203067337,0.194911491,0.374092584,0.18916287,0.210020998,0.207777895,0.065244764,0.077081003,0.080639742,0.071415554,0.027945362,0.258563352,0.236284373,0.238819028,0.226922824,0.220233946,0.162992481,0.201714619,0.258344646,0.219417588,0.287549608,0.105057614,0.212171059,0.226143089
LAG30,0.18772903,0.198889053,0.192093152,0.374821949,0.185113274,0.211382907,0.207783308,0.074992228,0.080686136,0.068888125,0.079060954,0.026759239,0.259540788,0.238959269,0.232825232,0.225057499,0.218889205,0.16131761,0.202154652,0.259547988,0.218973279,0.277913375,0.108844606,0.212120492,0.229458356
