,T10Y3M,curvature,BAMLCC0A1AAATRIV,DPRIME,VIXCLS,DJIA,SP500,mktrf,smb,hml,umd,indexgx,twexb,twexm,twexo,DCPF3M,DCPN3M,DFF,NASDAQCOM,DTWEXB,TEDRATE,USD3MTD156N,USEPUINDXD,WILL5000INDFC,WILLRESIND
LAG10,-0.3795973361135665,0.418211220861379,-0.22654468395122987,0.3592075336311145,0.5452749677605216,-0.159900772218045,-0.07190268808673425,-0.041458115307945013,-0.017426579456876968,-0.010159152577791552,-0.014097984900468137,0.056015626688786076,0.21630660503304755,0.22580955198603708,0.06733332243516708,0.4099007393909746,0.3716615491332251,0.34653426532295944,-0.04270353417113365,0.21622496058857565,0.711587721025403,0.4346056591419426,0.06736328675306426,-0.13641343466483064,-0.19054516282290268
LAG11,-0.3801099959782963,0.41955861682793805,-0.22642146294763343,0.36003348716595246,0.5428012187237233,-0.15829799202906356,-0.07020172876810325,-0.042874884607147536,-0.015439485327775206,-0.011737046499840734,-0.013020482409386464,0.05689885973954794,0.2148756689396647,0.22501858809353845,0.06549461842038691,0.4108614076267857,0.3725591243770023,0.3473410536446138,-0.041432343809762934,0.2147945453451649,0.7116412059558798,0.435410187890557,0.06585171810290158,-0.135248738172203,-0.1892537988533632
LAG12,-0.3804277057962673,0.42073719363727585,-0.22629774712625525,0.36085002761893253,0.5400627336405787,-0.15664653658528993,-0.06846653275017361,-0.044126593699215184,-0.015175764406377698,-0.014461904410473509,-0.011877118985726964,0.05774378334038721,0.2133483560682746,0.2241737747565299,0.06353287351764435,0.41194476496137444,0.37344866462800536,0.34825129111640235,-0.04015307828001662,0.21326834717109067,0.711654634706331,0.43619518193165036,0.06364007968739491,-0.13405852104369892,-0.18798222956423397
LAG13,-0.3807754886990723,0.4218817283593538,-0.2261706728507727,0.36166951768916455,0.5373005096070607,-0.15498183430213486,-0.06671634910972438,-0.04517950206385653,-0.014674546749079562,-0.01748626866789435,-0.009699863843943361,0.05858610236018263,0.21178326949878246,0.22331189595119424,0.06151124243691319,0.4129831527077198,0.37435079304570446,0.3491652906533189,-0.038858692546075276,0.2117048119137575,0.711457721804722,0.43694967771041354,0.06214885584579502,-0.13286063328566577,-0.1866873067276537
LAG14,-0.38128065105412356,0.42297649918741326,-0.2259855705192382,0.36247394970317676,0.5345059503704697,-0.15328129826667694,-0.06493016923386023,-0.045365247672498,-0.012782375433779046,-0.018648601211821422,-0.008771970887178198,0.05956320631221741,0.2102293374866022,0.22246731151182353,0.0594841938946938,0.41404729054886596,0.3752744461878921,0.34998394563579205,-0.037538331477924715,0.21015147758355965,0.7111423588036577,0.4376890691351275,0.06189085447514966,-0.13163102579483815,-0.18534057117223465
LAG15,-0.3816600324728632,0.4242047821272234,-0.2258347727616967,0.36326259196719535,0.5318677816854719,-0.15160067044155653,-0.06315659120241567,-0.046034028031097046,-0.012279456533582785,-0.02076982526025157,-0.006230434215023115,0.06050289994383045,0.2086399500037343,0.22160823719558048,0.05739808975714371,0.41513448893044785,0.3762136085844706,0.35072800020836875,-0.036221317706494796,0.2085630386124292,0.7111467927492581,0.43845664917666,0.06071468813819189,-0.1304156280374586,-0.18398167124350037
LAG16,-0.3819020023544652,0.4254394910267537,-0.22570505815167985,0.3640698804192365,0.529144478844787,-0.14990683569374308,-0.06137713260265715,-0.04570074035311817,-0.010761414250482581,-0.02151727562856121,-0.0044623078270514815,0.06147259389297611,0.20694962068952608,0.22065120719741146,0.05525783634610444,0.41619261236777005,0.3771362912106431,0.3515445822742878,-0.03490277343410087,0.20687090317733797,0.7112121795090783,0.43922073414439494,0.058177863805818915,-0.1291947965036717,-0.18259151845763438
LAG17,-0.3820919466932353,0.42667414973897555,-0.22558792406779604,0.3648760792698758,0.5266851659958885,-0.1482383453568304,-0.059611873549345044,-0.04684404340738241,-0.013178625198691854,-0.019529731225490052,-0.005469080441292207,0.06243311009540066,0.20530061364554425,0.21971498628725464,0.05317491576737545,0.4172192584052391,0.37801549305116194,0.35235319776769797,-0.03361665773811972,0.20522091483445068,0.7110662918975944,0.43995392014791374,0.0570977491184491,-0.1279923857188697,-0.1811838027694915
LAG18,-0.3823291501669973,0.42776078195643447,-0.22549881222805016,0.36567285784497566,0.5237993039593758,-0.1465050256341386,-0.05779193208247126,-0.04471062403286693,-0.012726839197252877,-0.015202326794899221,-0.008435790317989253,0.06338260927936214,0.20362809600154605,0.21878045175971905,0.051035385617481624,0.41821771583713613,0.3788947911757133,0.3531497438534887,-0.03229022015332579,0.2035499013219399,0.7104643725871516,0.4406666179560746,0.05583817775094241,-0.1267475680895649,-0.17979476195070837
LAG19,-0.38272563494449796,0.4288683255086716,-0.2253990800520481,0.36645526562932,0.5210225234251215,-0.14482474543448942,-0.05602056380646644,-0.046007988394667625,-0.012329840736659674,-0.014360438785830112,-0.008594333907013191,0.06433276315750454,0.20198413301661733,0.2178573533104142,0.04894133872941288,0.41911178520284215,0.37973250192853847,0.35392490793488546,-0.030981277171016494,0.2019057172621991,0.7097575829089408,0.44138509687315863,0.054165099417954915,-0.12554143760896247,-0.17845985185814814
LAG20,-0.38303491952604024,0.4301629183930407,-0.22539444117664054,0.3672423871693004,0.5179184127122045,-0.1430914783741718,-0.054201770625398486,-0.04473539703962222,-0.013301563221279915,-0.013297708386017511,-0.007891300584188821,0.06534921645692454,0.2003548588472319,0.21694896109577744,0.0468566451797228,0.42006366557081193,0.3805565026700334,0.35463898764551705,-0.02964572485377556,0.20027276860028154,0.7091517306620859,0.44210369205981964,0.051583668912948945,-0.12430784745199688,-0.17709111852148235
LAG21,-0.38336252635339296,0.43148181326574564,-0.22542097679394624,0.3680317217352033,0.5147499517304684,-0.14140005817404275,-0.05244388804565126,-0.042157678019724885,-0.014169937597538342,-0.014411148131303345,-0.010839046522902135,0.0662281571423266,0.1987571368240015,0.21608361607224671,0.044767723586773396,0.42102538984588705,0.3813798779437858,0.35541653530388456,-0.028366292703894704,0.19867230296318386,0.708766045815344,0.4428401437148836,0.04981506285515979,-0.12311605002406412,-0.175745607745984
LAG22,-0.3837358559421079,0.4326160167913362,-0.22543526930141985,0.368819654842287,0.512049352943658,-0.13977446067791252,-0.05074128433957762,-0.040796391797656144,-0.014032477509783021,-0.011896666724233422,-0.011579943175355009,0.06718210225856676,0.19724420643475754,0.2152860775116873,0.04275286604567817,0.4219835376645725,0.38215040184211896,0.3561987139928648,-0.027100190005309138,0.1971606562017624,0.7084588264450062,0.44356841505619676,0.04733422911489455,-0.12195806976914514,-0.1744417216010482
LAG23,-0.3841346793004817,0.43365136675356614,-0.22543562756570748,0.36959415497697307,0.5094597456202574,-0.1381827313298509,-0.049082699139451805,-0.042751840553334294,-0.01346042269620479,-0.014147682171114907,-0.007739554858027375,0.06803554282291012,0.19568155252334715,0.21444083781135506,0.040713748616500185,0.4233168492318453,0.38289841996736335,0.35696196611867237,-0.025851801652521378,0.19559617472159116,0.7080634217255896,0.4442811021913586,0.044459286679271064,-0.1208318344349411,-0.17319655895112668
LAG24,-0.38444286230513036,0.43477525531093164,-0.22544467424876172,0.37034225224003164,0.50669432801511,-0.13650094566478502,-0.04733158783343725,-0.04142401867078594,-0.01099794156368901,-0.015605921797048863,-0.0067848769326121616,0.06886234504059387,0.19405952272817312,0.2135342698394175,0.038648720780748304,0.4246446695111011,0.38367059213192073,0.3577102440703206,-0.02455264277462294,0.19397412088933724,0.7079150089605231,0.44499951926161224,0.039614349422903775,-0.11964165183326667,-0.1718915305855357
LAG25,-0.3846211389016838,0.43598165623166885,-0.2254448272221675,0.37108753502289143,0.5039371013017104,-0.1348739540509186,-0.04561489288708803,-0.04220873633640371,-0.009784238266349932,-0.01575017068961018,-0.006172377916821417,0.06972960051209111,0.19240696761035242,0.21259934467691893,0.0365598230707523,0.426086512868054,0.38445710879801287,0.35847797946011095,-0.023283040470075556,0.19231660518879917,0.7082403301107482,0.44572875553632796,0.03664133335019744,-0.11847864206516719,-0.17059829580115107
LAG26,-0.3848038949609904,0.4374311313714991,-0.2254645206421151,0.3718416326714324,0.5005557241773425,-0.1332213779907287,-0.04387910881600299,-0.040720945282603165,-0.009553104120064637,-0.016182310677690433,-0.0059396876098378884,0.07060099757630783,0.19082556748011556,0.21174029778501707,0.034495143491895634,0.4274234425092995,0.38523524367772644,0.35926238222429935,-0.0220279451135753,0.19073347482474615,0.7086511474780405,0.44646869337344613,0.03418605480096561,-0.11730991857879675,-0.1693335515954598
LAG27,-0.3849145171788676,0.4388025091533761,-0.22548523819269098,0.3725943122584786,0.497525286639852,-0.13160023118293662,-0.0421849644907373,-0.03966481756233722,-0.009393805861425608,-0.015183563803006735,-0.007103948202346865,0.07150618714503694,0.18919874309033485,0.2108566920316968,0.032372866503757626,0.4286440616645769,0.385969429529901,0.3600613474319753,-0.02080511012305699,0.18910767062652753,0.7091760586925155,0.4472001125731677,0.03127319977033563,-0.11616674505426197,-0.16810310609025503
LAG28,-0.38509819966004316,0.44015788771260556,-0.22550284520323446,0.37333684793245125,0.49485348160752,-0.13003098502926635,-0.04054324435861714,-0.037026166172463654,-0.010168201095656736,-0.012746389737136838,-0.00997696294824034,0.07230875305099162,0.18763366948450963,0.2100127216303457,0.03032181903313924,0.4296036498425969,0.3867266449366673,0.36079023478183214,-0.01961963821193917,0.18754301186577582,0.7096178099362774,0.44792702905829984,0.027928082280039915,-0.11506083357475992,-0.16685720468000384
LAG29,-0.3852998130301972,0.44138853732827416,-0.22552170300150579,0.3740925837180715,0.4925310420599968,-0.12854872028722467,-0.03898432146613643,-0.038991856037886304,-0.009746638507380952,-0.013982127501889206,-0.007814056648571288,0.07308256074145807,0.18598577216033485,0.20910364523331373,0.028199456546100666,0.4303429800926175,0.3875142385982948,0.36158761302575676,-0.018472762627276887,0.1858903380410645,0.7100475670348074,0.4486564867321499,0.027435240314183346,-0.11400304144714918,-0.16569415996664952
LAG30,-0.3854791315861254,0.442640277980224,-0.22549486708070116,0.3748219490785875,0.4898266155090999,-0.12696285276744587,-0.037320195504780045,-0.03671954193901713,-0.011726583537314005,-0.012218522705659667,-0.010178175146185886,0.07389484097953498,0.1842793177361634,0.2081263771631197,0.02606808651544789,0.43102059488229166,0.3882529394199992,0.3623435932998482,-0.01725158569705554,0.18417024761382741,0.7102877909040667,0.4493462340194815,0.0264225819637206,-0.11287009139452919,-0.16444408488342435
