date,T10Y3M,curvature,BAMLCC0A1AAATRIV,DPRIME,VIXCLS,DJIA,SP500,mktrf,smb,hml,umd,indexgx,twexb,twexm,twexo,DCPF3M,DCPN3M,DFF,NASDAQCOM,DTWEXB,TEDRATE,USD3MTD156N,USEPUINDXD,WILL5000INDFC,WILLRESIND,predict
13,-0.36387618,1.20591851,-1.662426012,1.283048228,-0.37984523,-1.617999705,-1.560935195,0.451756868,-0.858339807,-0.336694679,0.349684365,-2.107635544,-1.121119098,0.288941567,-3.250937271,1.258950017,1.317393203,1.31027557,-1.208253365,-1.121020523,0.087819485,1.295178768,0.307037605,-1.33859981,-1.157264225,0.3
14,-0.329478056,1.183311416,-1.665516656,1.283048228,-0.4659462,-1.629504557,-1.550861385,0.330308773,-0.666717689,-0.12419672,0.104811049,-1.615091792,-1.085797594,0.330152832,-3.245499576,1.263387119,1.290754844,1.257646225,-1.19785978,-1.085751178,0.064151498,1.295178768,-0.069471722,-1.332970418,-1.155678652,0.27
15,-0.295079931,1.273739793,-1.668263894,1.283048228,-0.300919341,-1.661529095,-1.575744441,-0.714144844,1.441125601,0.543654009,-0.405341694,-1.309808622,-1.053037166,0.372925787,-3.248267857,1.263387119,1.29519457,1.270803561,-1.206941281,-1.053021653,0.064151498,1.295178768,-0.645609734,-1.343205677,-1.155480456,0.26
16,-0.243482744,1.273739793,-1.672127199,1.283048228,-0.198076515,-1.681661673,-1.595949346,-0.81130332,0.546889054,0.43740503,-0.486966133,-1.627811924,-1.061253951,0.357048605,-3.238480007,1.263387119,1.28187539,1.222559994,-1.220568218,-1.061238716,0.087819485,1.295178768,-0.687168664,-1.354464462,-1.159959698,0.27
17,-0.243482744,1.251132699,-1.675990503,1.283048228,-0.09882123,-1.693818674,-1.611734477,-0.608889828,0.11573929,0.498118732,-0.364529475,-1.26904638,-1.043006286,0.377177054,-3.233536648,1.263387119,1.304074023,1.31027557,-1.230896199,-1.042990432,0.016815524,1.295178768,0.047914029,-1.36265267,-1.163091203,0.27
18,-0.260681806,1.183311416,-1.671612092,1.283048228,-0.029462115,-1.695384532,-1.611734477,-0.017842432,0.642700112,-0.351873105,-0.099250048,-0.912810408,-1.009925724,0.41700015,-3.230175164,1.272261322,1.304074023,1.283960897,-1.229434161,-1.009844718,0.064151498,1.295178768,-0.964665662,-1.362140907,-1.164280383,0.27
19,-0.269281338,1.194614963,-1.670410175,1.283048228,-0.090450302,-1.666627546,-1.590266756,0.524625725,-1.177710002,-0.063483017,0.512933243,-0.992961695,-0.999254575,0.427064375,-3.224243134,1.272261322,1.299634297,1.187473764,-1.228684399,-0.999215892,0.064151498,1.295178768,-0.758329219,-1.353952699,-1.164002907,0.27
20,-0.2864804,1.149400775,-1.667405382,1.283048228,-0.18133466,-1.638393839,-1.556773626,0.953742327,-1.081898943,-0.655441618,0.349684365,-1.122981681,-1.00181565,0.419516206,-3.216729228,1.276698424,1.286315117,1.297118234,-1.213829725,-1.001766384,0.064151498,1.295178768,-0.641526751,-1.339623336,-1.161505631,0.25
21,-0.329478056,1.115490133,-1.657875898,1.283048228,-0.18133466,-1.642052152,-1.551062307,0.225053758,0.003959721,-0.534014213,0.206841597,-1.0687043,-1.002669342,0.422813107,-3.224342001,1.263387119,1.29519457,1.327818685,-1.20555422,-1.002641448,0.111487472,1.295178768,-0.931272697,-1.336552759,-1.158017372,0.28
22,-0.355276649,1.104186586,-1.651007801,1.283048228,-0.168180345,-1.644405997,-1.549426373,-0.042132051,0.051865251,0.543654009,0.33948131,-0.929722402,-0.997760614,0.426977614,-3.22088165,1.263387119,1.29519457,1.323432906,-1.209115593,-0.997743224,0.20615942,1.295178768,-0.095427825,-1.335529233,-1.155678652,0.29
23,-0.355276649,1.12679368,-1.649033223,1.283048228,-0.186118047,-1.635126121,-1.542165127,0.071219504,-0.874308316,0.407048178,0.074201884,-0.869879962,-0.986235773,0.436694797,-3.212379073,1.26782422,1.286315117,1.244488888,-1.21127116,-0.986143291,0.229827407,1.295178768,-0.743163855,-1.333482181,-1.158215568,0.29
24,-0.36387618,1.138097228,-1.651351206,1.283048228,0.008804983,-1.664535257,-1.573677935,-1.062296049,0.738511171,1.150791036,-0.078843939,-0.759662908,-0.97246999,0.453699866,-3.21178587,1.263387119,1.286315117,1.240103109,-1.234991777,-0.97244107,0.158823446,1.295178768,-0.862153634,-1.34883507,-1.161386713,0.3
25,-0.355276649,1.104186586,-1.651608759,1.283048228,-0.09882123,-1.655649291,-1.568311004,0.16837798,-0.379284513,-0.154553571,-0.242092816,-0.624077864,-0.958384073,0.471832823,-3.212181338,1.258950017,1.29519457,1.262032003,-1.236903672,-0.958279975,0.111487472,1.288320938,-0.826427536,-1.345764492,-1.159127272,0.28
26,-0.406873836,1.058972398,-1.64525577,1.283048228,-0.249497928,-1.627544622,-1.541304154,0.751328836,-1.273521061,-0.078661443,0.349684365,0.021902482,-0.916873303,0.523715636,-3.211291534,1.263387119,1.28187539,1.2006311,-1.226303902,-0.916831825,0.087819485,1.286604286,-0.562346053,-1.333993944,-1.154449834,0.29
27,-0.43267243,1.047668851,-1.644139704,1.283048228,-0.040224737,-1.64427696,-1.553157367,-0.55221405,-0.139756867,1.196326313,-1.160367754,-0.618512806,-0.965960589,0.465672823,-3.21840997,1.254512915,1.277435664,1.244488888,-1.247269141,-0.96594212,0.016815524,1.272884236,-0.071221571,-1.341670388,-1.154806588,0.29
28,-0.406873836,1.104186586,-1.644139704,1.283048228,-0.121542319,-1.626759951,-1.54121797,0.233150297,-1.449174668,0.665081415,0.02318661,-0.198387079,-0.936935063,0.500463807,-3.214850752,1.263387119,1.290754844,1.196245322,-1.25085863,-0.936830237,-0.006852463,1.269455322,-0.973706552,-1.337576284,-1.15524262,0.29
29,-0.458471023,1.172007869,-1.64525577,1.283048228,-0.180138813,-1.591596731,-1.503391075,1.204735057,-1.273521061,-1.03490226,0.329278255,0.225858236,-0.907802826,0.537944368,-3.215839424,1.258950017,1.290754844,1.003271055,-1.225132398,-0.907718354,-0.006852463,1.271167584,-0.956353876,-1.319152818,-1.155361538,0.35
30,-0.492869148,1.12679368,-1.635125327,1.283048228,-0.210034983,-1.57094104,-1.477417396,0.799908074,-0.890276826,0.22490707,0.257856871,0.375102968,-0.895424293,0.547748311,-3.205557238,1.254512915,1.28187539,1.248874667,-1.214026538,-0.895339401,0.016815524,1.269455322,-0.66121256,-1.306870507,-1.153102097,0.33
31,-0.501468679,1.115490133,-1.629544998,1.283048228,-0.216014217,-1.582313371,-1.487003354,-0.204062845,0.451077995,0.482940307,-0.170671432,0.335352555,-0.904174636,0.538985494,-3.209709659,1.250075813,1.277435664,1.231331552,-1.217419214,-0.904079369,0.087819485,1.266022017,-0.062763964,-1.308917558,-1.153379572,0.29
32,-0.501468679,1.115490133,-1.629544998,1.283048228,-0.216014217,-1.582313371,-1.487003354,-0.204062845,0.451077995,0.482940307,-0.170671432,0.335352555,-0.904174636,0.538985494,-3.209709659,1.250075813,1.277435664,1.231331552,-1.217419214,-0.904079369,0.087819485,1.255735272,-1.128714071,-1.308917558,-1.153379572,0.29
33,-0.518667741,1.115490133,-1.6297167,1.283048228,-0.153830183,-1.555648839,-1.464588473,0.548915344,-0.842371297,0.391869753,0.196638542,0.5908393,-0.877069917,0.568570845,-3.201305949,1.236764508,1.272995937,1.406762703,-1.218731299,-0.876952387,0.016815524,1.257447535,-0.940751049,-1.300217588,-1.152309311,0.31
34,-0.492869148,1.149400775,-1.633064898,1.283048228,-0.045008124,-1.57172571,-1.475494529,-0.285028241,0.642700112,0.452583455,-0.099250048,0.858251168,-0.867252459,0.588439012,-3.214158682,1.24120161,1.272995937,1.248874667,-1.218928112,-0.867145268,-0.006852463,1.25401862,-1.22233103,-1.303799929,-1.152190393,0.32
35,-0.415473367,1.138097228,-1.63958959,1.283048228,0.050659621,-1.603230619,-1.503305066,-0.973234113,0.642700112,0.619546138,-0.864479163,0.419840251,-0.911110882,0.545926339,-3.236898132,1.232327406,1.277435664,1.231331552,-1.235966469,-0.91107988,0.016815524,1.255735272,0.462045123,-1.317617529,-1.155321899,0.31
36,-0.424072899,1.172007869,-1.638559375,1.283048228,-0.052183205,-1.601790315,-1.506261099,-0.236449003,-0.091851337,0.953471502,-0.3135142,0.500063811,-0.899265907,0.557118451,-3.230274031,1.232327406,1.250797304,1.2006311,-1.248225089,-0.899213159,0.040483511,1.255735272,-0.686002098,-1.320688107,-1.156669635,0.33
37,-0.458471023,1.149400775,-1.639932995,1.283048228,-0.137088328,-1.575777934,-1.48183717,0.6622669,-1.257552551,0.027587537,0.063998829,-0.071402578,-0.938429024,0.505409158,-3.22681368,1.232327406,1.259676757,1.262032003,-1.23814078,-0.938377606,-0.006852463,1.257447535,-0.239790425,-1.310452847,-1.157660618,0.32
38,-0.424072899,1.194614963,-1.640448102,1.283048228,-0.120346473,-1.565713387,-1.476814628,0.17647452,-0.299441964,0.240085496,-0.038031719,0.058111494,-0.936081372,0.509053102,-3.227901219,1.236764508,1.26855621,1.288346676,-1.23569468,-0.936051217,-0.03052045,1.26088084,-0.977206251,-1.306870507,-1.155321899,0.32
39,-0.36387618,1.273739793,-1.656073022,1.283048228,-0.029462115,-1.584276623,-1.495039383,-0.633179447,0.259455878,0.149014942,-0.007422555,0.351469541,-0.910684037,0.533953382,-3.215246221,1.232327406,1.264116484,1.253260446,-1.242386312,-0.910599662,-0.172528372,1.267738669,-0.176504195,-1.31608224,-1.156352521,0.32
40,-0.346677118,1.318953982,-1.657704195,1.283048228,0.011196676,-1.604015289,-1.525490297,-1.05419951,0.962070308,1.13561261,-0.925697492,0.330221138,-0.913885381,0.522327467,-3.202195754,1.250075813,1.330712383,1.292732455,-1.268524913,-0.91383313,-0.077856424,1.284887633,-0.59617648,-1.330923366,-1.158057011,0.32
41,-0.36387618,1.341561076,-1.656158874,1.283048228,0.01358837,-1.620091994,-1.537687898,-0.422669416,0.051865251,0.209728645,-0.660418066,0.335352555,-0.897878658,0.52276127,-3.167789977,1.26782422,1.317393203,1.384833809,-1.271955077,-0.897793848,-0.101524411,1.284887633,-0.778306669,-1.337064522,-1.157660618,0.37
42,-0.36387618,1.341561076,-1.656673981,1.283048228,-0.011524413,-1.606104261,-1.524801517,0.289826075,-0.762528748,0.179371793,0.502730188,0.665642349,-0.876109513,0.547054226,-3.162253416,1.281135526,1.326272657,1.340976021,-1.269911974,-0.876066651,-0.101524411,1.288320938,-0.900941969,-1.331435129,-1.152745344,0.36
43,-0.355276649,1.307650434,-1.659507071,1.283048228,-0.043812277,-1.628590683,-1.537314781,-0.260738622,1.041912857,0.33115605,0.217044652,1.175965376,-0.844202777,0.589827181,-3.166010368,1.263387119,1.290754844,1.235717331,-1.264110685,-0.844084132,-0.125192398,1.291749853,-0.77655682,-1.334505707,-1.148662495,0.37
44,-0.320878525,1.398078811,-1.657961749,1.283048228,-0.178942966,-1.596956738,-1.50562978,0.921356169,-0.826402787,-0.776869024,0.69658823,1.112220169,-0.841108144,0.580630562,-3.143468652,1.276698424,1.29519457,1.231331552,-1.253126662,-0.841064094,-0.006852463,1.295178768,-1.223789238,-1.320176344,-1.145451711,0.36
45,-0.320878525,1.398078811,-1.66088069,1.283048228,-0.060554132,-1.597347332,-1.515473939,-0.276931702,0.1317078,0.695438266,0.135420213,1.152115129,-0.848257814,0.574383802,-3.148313144,1.258950017,1.290754844,1.262032003,-1.26592886,-0.848160649,-0.054188437,1.295178768,-0.443793736,-1.323758684,-1.1402986,0.37
46,-0.355276649,1.352864623,-1.654441849,1.283048228,-0.199272362,-1.578260982,-1.497077163,0.516529186,-0.954150865,0.33115605,0.0027805,1.316754111,-0.830010149,0.598069434,-3.149202949,1.272261322,1.290754844,1.257646225,-1.269330908,-0.829933708,-0.03052045,1.295178768,-0.848592299,-1.315570477,-1.134194147,0.37
47,-0.346677118,1.386775264,-1.653239932,1.283048228,-0.23753946,-1.55159645,-1.472165204,0.6622669,-0.730591728,0.027587537,0.523136298,0.932476029,-0.849324929,0.578027745,-3.157013455,1.272261322,1.290754844,1.270803561,-1.259096647,-0.849238472,0.016815524,1.295178768,-1.308219485,-1.304823455,-1.132212181,0.38
48,-0.320878525,1.375471717,-1.653926742,1.283048228,-0.20764329,-1.549636516,-1.47879495,-0.220255924,0.610763093,0.391869753,-0.191077542,0.917804513,-0.851886005,0.569264929,-3.147324472,1.276698424,1.29519457,1.257646225,-1.264682379,-0.851788963,0.064151498,1.295178768,-1.187334036,-1.30738227,-1.131459034,0.37
49,-0.320878525,1.375471717,-1.657189088,1.283048228,-0.164592805,-1.565190273,-1.499114768,-0.665565606,-0.123788357,1.150791036,-0.395138639,1.01956557,-0.841855124,0.584100984,-3.151279159,1.281135526,1.29519457,1.169930649,-1.276519258,-0.8418111,-0.006852463,1.295178768,-0.801054715,-1.317105766,-1.134273425,0.38
50,-0.260681806,1.386775264,-1.668779002,1.283048228,-0.143067562,-1.6197014,-1.541304154,-1.369964557,1.041912857,-0.002769315,-0.782854724,1.129421257,-0.827662496,0.595206336,-3.139217364,1.281135526,1.29519457,1.257646225,-1.286687914,-0.827553961,-0.125192398,1.295178768,-0.971081777,-1.336552759,-1.137801324,0.37
51,-0.252082275,1.352864623,-1.666117614,1.283048228,-0.140675868,-1.600486013,-1.530943411,0.225053758,-0.682686199,-0.184910423,-0.517575298,0.913395831,-0.838760491,0.583146618,-3.142677715,1.285572628,1.304074023,1.231331552,-1.286978447,-0.838695019,0.016815524,1.31061547,-0.926314789,-1.332458655,-1.135224769,0.36
52,-0.252082275,1.420685906,-1.666718573,1.283048228,-0.004349332,-1.593685702,-1.523653438,-0.115000908,-1.35336361,0.907936225,0.237450762,0.905445749,-0.824567863,0.598069434,-3.137437755,1.290009729,1.312953477,1.336590243,-1.299668181,-0.824544594,-0.054188437,1.31061547,-0.879360489,-1.333482181,-1.137959881,0.36
53,-0.252082275,1.420685906,-1.666461019,1.283048228,0.032721919,-1.61369936,-1.541017223,-0.649372526,0.483015015,0.22490707,-0.129859213,0.426995325,-0.854233657,0.564319577,-3.144160723,1.290009729,1.326272657,1.349747579,-1.309124562,-0.854200725,0.040483511,1.322618867,1.018497327,-1.342693914,-1.140021125,0.36
54,-0.269281338,1.398078811,-1.66869315,1.283048228,0.090122566,-1.620112394,-1.552181481,-0.55221405,-1.145772983,1.196326313,-0.180874487,0.641792101,-0.83940076,0.585228872,-3.147719941,1.290009729,1.330712383,1.323432906,-1.32791549,-0.839345981,-0.054188437,1.322618867,0.035956723,-1.349858596,-1.138316635,0.37
55,-0.303679462,1.398078811,-1.668263894,1.283048228,0.027938532,-1.639609904,-1.561135945,-0.187869765,0.754479681,-0.306337828,0.084404939,0.859118449,-0.816244366,0.608393941,-3.137042286,1.31663234,1.33515211,1.305889791,-1.318571572,-0.816220816,-0.125192398,1.329481087,1.893422175,-1.351905647,-1.138713028,0.36
56,-0.372475712,1.375471717,-1.667491234,1.283048228,-0.15502603,-1.644871393,-1.556974548,0.046929885,-0.60284365,0.315977624,0.421105749,0.74275815,-0.831824244,0.592256477,-3.143369785,1.321069442,1.383989103,1.288346676,-1.323435658,-0.831790551,-0.077856424,1.363779015,0.213274825,-1.350370359,-1.140655354,0.37
57,-0.381075243,1.409382359,-1.66371378,1.283048228,-0.110779698,-1.610747599,-1.537486973,0.354598392,-2.327442706,1.029363631,0.257856871,0.628566055,-0.843455797,0.579849717,-3.147423339,1.352129154,1.383989103,1.371676473,-1.334147892,-0.843401155,-0.006852463,1.372353497,0.294351194,-1.344740966,-1.140179682,0.37
58,-0.389674774,1.420685906,-1.666632721,1.283048228,-0.206447443,-1.620625391,-1.54271044,-0.090711289,0.642700112,-0.503657362,0.176232433,0.849216983,-0.822006787,0.605877884,-3.145347129,1.369877561,1.392868556,1.415534261,-1.32906825,-0.821983432,-0.077856424,1.377499064,-0.459979845,-1.345252729,-1.137840963,0.38
59,-0.269281338,1.578935566,-1.670839431,1.395441211,-0.318857043,-1.619086568,-1.538606326,0.16028144,0.850290739,-1.277757071,0.02318661,0.745504542,-0.824141017,0.59581366,-3.132494396,1.374314663,1.397308283,1.433077376,-1.309368235,-0.82402169,0.135155459,1.382644632,1.380132931,-1.342182151,-1.13514549,0.37
60,-0.200485088,1.60154266,-1.681742535,1.395441211,-0.058162439,-1.66667863,-1.586306109,-1.564281509,1.872275365,0.376691327,-0.3135142,0.277822867,-0.849751775,0.564146056,-3.133977404,1.383188867,1.401748009,1.463777827,-1.327709305,-0.849697347,0.111487472,1.387790199,-1.003162355,-1.364699722,-1.142439123,0.37
61,-0.200485088,1.60154266,-1.681742535,1.395441211,-0.058162439,-1.66667863,-1.586306109,-1.564281509,1.872275365,0.376691327,-0.3135142,0.277822867,-0.836306127,0.577333661,-3.127353303,1.374314663,1.401748009,1.393605367,-1.327709305,-0.836251242,0.111487472,1.387790199,0.044997613,-1.364699722,-1.142439123,0.37
62,-0.166086964,1.60154266,-1.680283064,1.395441211,0.137956438,-1.720045011,-1.634407738,-1.855756937,1.057881366,1.575786955,-0.803260834,0.026094343,-0.854767215,0.555643521,-3.130220451,1.431996986,1.406187736,2.073401078,-1.35377293,-0.8547343,0.111487472,1.387790199,-0.42833673,-1.39028787,-1.155520095,0.33
63,-0.157487432,1.590239113,-1.678136784,1.395441211,-0.017503647,-1.710680215,-1.62717522,0.111702202,-1.433206158,0.498118732,0.829227943,0.036357177,-0.864798095,0.546967466,-3.137042286,1.387625968,1.397308283,1.683066767,-1.35824339,-0.864680149,0.324499355,1.404939163,-0.03301652,-1.388752581,-1.160118255,0.33
64,-0.157487432,1.635453301,-1.676763164,1.395441211,0.037505306,-1.742626636,-1.654526634,-0.973234113,0.690605642,0.164193368,-0.027828665,0.179458663,-0.851886005,0.559634507,-3.130714787,1.387625968,1.419506916,1.384833809,-1.37317304,-0.851778291,0.371835329,1.404939163,-0.680752549,-1.401546655,-1.164835333,0.34
65,-0.148887901,1.646756848,-1.675389545,1.395441211,0.024350991,-1.756077821,-1.653923866,-0.042132051,-0.554938121,-0.564371064,0.329278255,-0.021967519,-0.855620907,0.550351127,-3.123003147,1.387625968,1.406187736,1.393605367,-1.361214325,-0.855577349,0.44283929,1.404939163,-0.731352369,-1.402058418,-1.169829886,0.35
66,-0.114489777,1.646756848,-1.681141576,1.395441211,-0.210034983,-1.739535555,-1.632169036,0.90516309,0.419140975,-2.188462611,0.227247707,0.412468356,-0.816884635,0.600932533,-3.125672561,1.378751765,1.401748009,1.305889791,-1.339686764,-0.816861106,0.395503316,1.404939163,1.602509663,-1.389264344,-1.169116378,0.34
67,-0.131688839,1.669363943,-1.67435933,1.395441211,-0.296135953,-1.72941329,-1.620028889,0.597494582,0.419140975,-0.336694679,0.094607994,1.255249382,-0.767904061,0.666783796,-3.131802326,1.400937274,1.432826096,1.354133358,-1.325984851,-0.767825512,0.419171303,1.406655816,-0.72435297,-1.380052611,-1.162615532,0.34
68,-0.088691183,1.703274584,-1.677106569,1.395441211,-0.304506881,-1.711308483,-1.608577523,0.322212234,-0.61881216,0.255263922,0.431308804,1.349277176,-0.761181237,0.675026049,-3.13130799,1.400937274,1.423946643,1.314661349,-1.320342887,-0.761113131,0.513843251,1.406655816,-0.760662351,-1.374934981,-1.160712845,0.33
69,-0.080091652,1.714578131,-1.676763164,1.395441211,-0.290156719,-1.726729886,-1.624420109,-0.495538273,1.425157091,0.482940307,-0.109453103,1.752635456,-0.734183229,0.707995061,-3.128737444,1.387625968,1.419506916,1.301504012,-1.327784281,-0.734092864,0.513843251,1.404939163,-0.337636188,-1.381076136,-1.160554287,0.33
70,-0.123089308,1.703274584,-1.676591462,1.395441211,-0.236343613,-1.73479718,-1.630906217,-0.365993638,-0.012008788,0.528475584,-0.221686707,1.56089392,-0.7478423,0.691076752,-3.129627248,1.374314663,1.397308283,1.389219588,-1.340586479,-0.747741727,0.419171303,1.406655816,-0.761683097,-1.386193766,-1.162972285,0.33
71,-0.080091652,1.75979232,-1.683717112,1.395441211,-0.146655102,-1.785187917,-1.69028702,-2.033880809,1.50499964,0.665081415,-0.609402791,1.689396163,-0.731302019,0.706780413,-3.120432601,1.387625968,1.392868556,1.340976021,-1.36764354,-0.731222228,0.371835329,1.406655816,-0.333699026,-1.414340729,-1.169948804,0.33
72,-0.071492121,1.793702961,-1.682772749,1.395441211,-0.226776839,-1.764739548,-1.672837401,0.41937071,-1.081898943,-0.488478936,0.33948131,1.721341041,-0.723725503,0.71719168,-3.121619007,1.383188867,1.419506916,1.380448031,-1.358730736,-0.723624112,0.419171303,1.418659212,-0.225208345,-1.407687811,-1.176251454,0.34
73,-0.166086964,1.691971037,-1.672298901,1.395441211,-0.32722797,-1.718794945,-1.641295864,0.937549248,-1.672733805,0.346334476,0.819024889,1.933463698,-0.719777178,0.726214778,-3.128638576,1.383188867,1.410627463,1.433077376,-1.362039064,-0.719750353,0.44283929,1.422088127,-0.878339744,-1.393870211,-1.171613655,0.34
74,-0.131688839,1.782399414,-1.673758372,1.395441211,-0.400174626,-1.687303637,-1.616010787,0.629880741,-1.640796786,0.33115605,0.176232433,1.799757764,-0.72852752,0.714935906,-3.128440842,1.383188867,1.419506916,1.411148482,-1.364485165,-0.728490321,0.466507277,1.418659212,-1.046762777,-1.384658477,-1.173793817,0.34
75,-0.166086964,1.714578131,-1.669122407,1.395441211,-0.272219017,-1.694528543,-1.621062055,-0.115000908,0.195581839,0.452583455,0.0027805,1.701610381,-0.732049,0.709817033,-3.127254436,1.383188867,1.419506916,1.380448031,-1.358112182,-0.731958562,0.466507277,1.418659212,-1.160794649,-1.386193766,-1.176568569,0.34
76,-0.183286026,1.691971037,-1.666976126,1.395441211,-0.26743563,-1.679328062,-1.607946026,0.314115694,-0.155725376,-0.154553571,0.421105749,1.412227376,-0.746668474,0.692811963,-3.12992385,1.383188867,1.415067189,1.319047128,-1.352957563,-0.746546518,0.466507277,1.415230298,-0.776410999,-1.381076136,-1.174626242,0.34
77,-0.217684151,1.669363943,-1.669723365,1.395441211,-0.105996311,-1.693985029,-1.62508016,-0.827496399,-0.171693886,0.649902989,0.69658823,1.175893103,-0.764809428,0.67198943,-3.133977404,1.396500172,1.428386369,1.314661349,-1.37040829,-0.764752116,0.44283929,1.413513645,-1.140963019,-1.391823159,-1.176528929,0.34
78,-0.243482744,1.635453301,-1.665173251,1.395441211,-0.175355426,-1.63508532,-1.584211049,1.107576581,-2.566970353,-0.093839869,1.267959302,1.491945022,-0.746241628,0.694026611,-3.131209123,1.400937274,1.428386369,1.384833809,-1.362170272,-0.746173015,0.300831368,1.415230298,-0.451230597,-1.375446744,-1.178431616,0.36
79,-0.209084619,1.658060395,-1.669723365,1.395441211,-0.060554132,-1.642184506,-1.586994886,-0.050228591,-0.091851337,-0.306337828,-0.344123365,1.49086092,-0.744747667,0.694547175,-3.128935178,1.396500172,1.437265823,1.582193855,-1.348674544,-0.744700346,0.253495394,1.411801383,-0.865215871,-1.375446744,-1.182316268,0.35
